name,desc,type,label,range,units,unique values,missing .,unique mv codes,missing .*,"missing """"",mean,std. dev
v1,Able to take active role in political group,numeric (double),"actrolg, but 9 nonmissing values are not labeled","[0,10]",1,11,"0/39,325",3,"713/39,325",,,
v2,Feeling of safety of walking alone in local area after dark,numeric (double),aesfdrk,"[1,4]",1,4,"0/39,325",3,"396/39,325",,,
v3,"Age of respondent, calculated",numeric (double),"agea, but 90 nonmissing values are not labeled","[14,114]",1,90,"0/39,325",1,"97/39,325",,,
v4,"First ancestry, European Standard Classification of Cultural and Ethnic Groups",numeric (double),anctry1,"[10000,444444]",1,184,"0/39,325",3,"250/39,325",,,
v5,"Second ancestry, European Standard Classification of Cultural and Ethnic Groups",numeric (double),anctry2,"[10000,444444]",1,174,"0/39,325",4,"27,208/39,325",,,
v6,"Improve knowledge/skills: course/lecture/conference, last 12 months",numeric (double),atncrse,"[1,2]",1,2,"0/39,325",3,"238/39,325",,,
v7,Worn or displayed campaign badge/sticker last 12 months,numeric (double),badge,"[1,2]",1,2,"0/39,325",3,"88/39,325",,,
v8,Boycotted certain products last 12 months,numeric (double),bctprd,"[1,2]",1,2,"0/39,325",3,"180/39,325",,,
v9,Belong to minority ethnic group in country,numeric (double),blgetmg,"[1,2]",1,2,"0/39,325",3,"515/39,325",,,
v10,Born in country,numeric (double),brncntr,"[1,2]",1,2,"0/39,325",3,"10/39,325",,,
v11,Ever had children living in household,numeric (double),chldhhe,"[1,2]",1,2,"0/39,325",4,"14,210/39,325",,,
v12,Children living at home or not,numeric (double),chldhm,"[1,2]",1,2,"0/39,325",1,"5/39,325",,,
v13,"Could not get going, how often past week",numeric (double),cldgng,"[1,4]",1,4,"0/39,325",3,"297/39,325",,,
v14,Feel closer to a particular party than all other parties,numeric (double),clsprty,"[1,2]",1,2,"0/39,325",3,"810/39,325",,,
v15,Doing last 7 days: community or military service,numeric (double),cmsrv,"[0,1]",1,2,"0/39,325",,,,,
v16,Partner doing last 7 days: community or military service,numeric (double),cmsrvp,"[0,1]",1,2,"0/39,325",,,,,
v17,Country of birth,string (str2),,,,172,,,,"0/39,325",,
v18,Contacted politician or government official last 12 months,numeric (double),contplt,"[1,2]",1,2,"0/39,325",3,"82/39,325",,,
v19,Confident in own ability to participate in politics,numeric (double),"cptppol, but 9 nonmissing values are not labeled","[0,10]",1,11,"0/39,325",3,"659/39,325",,,
v20,Region,string (str5),,,,251,,,,"0/39,325",,
v21,Respondent or household member victim of burglary/assault last 5 years,numeric (double),crmvct,"[1,2]",1,2,"0/39,325",3,"99/39,325",,,
v22,Control paid work last 7 days,numeric (double),crpdwk,"[1,2]",1,2,"0/39,325",4,"20,646/39,325",,,
v23,"Partner, control paid work last 7 days",numeric (double),crpdwkp,"[1,2]",1,2,"0/39,325",4,"30,316/39,325",,,
v24,Citizen of country,numeric (double),ctzcntr,"[1,2]",1,2,"0/39,325",3,"22/39,325",,,
v25,Citizenship,string (str2),,,,130,,,,"0/39,325",,
v26,Doing last 7 days: don't know,numeric (double),dngdk,"[0,1]",1,2,"0/39,325",,,,,
v27,Partner doing last 7 days: don't know,numeric (double),dngdkp,"[0,1]",1,2,"0/39,325",,,,,
v28,Doing last 7 days: no answer,numeric (double),dngna,"[0,1]",1,2,"0/39,325",,,,,
v29,Partner doing last 7 days: no answer,numeric (double),dngnap,"[0,1]",1,2,"0/39,325",,,,,
v30,Partner doing last 7 days: not applicable,numeric (double),dngnapp,"[0,1]",1,2,"0/39,325",,,,,
v31,Doing last 7 days: other,numeric (double),dngoth,"[0,1]",1,2,"0/39,325",,,,,
v32,Partner doing last 7 days: other,numeric (double),dngothp,"[0,1]",1,2,"0/39,325",,,,,
v33,Doing last 7 days: refusal,numeric (double),dngref,"[0,1]",1,2,"0/39,325",,,,,
v34,Partner doing last 7 days: refusal,numeric (double),dngrefp,"[0,1]",1,2,"0/39,325",,,,,
v35,"Domicile, respondent's description",numeric (double),domicil,"[1,5]",1,5,"0/39,325",3,"88/39,325",,,
v36,Doing last 7 days: permanently sick or disabled,numeric (double),dsbld,"[0,1]",1,2,"0/39,325",,,,,
v37,Partner doing last 7 days: permanently sick or disabled,numeric (double),dsbldp,"[0,1]",1,2,"0/39,325",,,,,
v38,Discrimination of respondent's group: age,numeric (double),dscrage,"[0,1]",1,2,"0/39,325",,,,,
v39,Discrimination of respondent's group: don't know,numeric (double),dscrdk,"[0,1]",1,2,"0/39,325",,,,,
v40,Discrimination of respondent's group: disability,numeric (double),dscrdsb,"[0,1]",1,2,"0/39,325",,,,,
v41,Discrimination of respondent's group: ethnic group,numeric (double),dscretn,"[0,1]",1,2,"0/39,325",,,,,
v42,Discrimination of respondent's group: gender,numeric (double),dscrgnd,"[0,1]",1,2,"0/39,325",,,,,
v43,Member of a group discriminated against in this country,numeric (double),dscrgrp,"[1,2]",1,2,"0/39,325",3,"336/39,325",,,
v44,Discrimination of respondent's group: language,numeric (double),dscrlng,"[0,1]",1,2,"0/39,325",,,,,
v45,Discrimination of respondent's group: no answer,numeric (double),dscrna,"[0,1]",1,2,"0/39,325",,,,,
v46,Discrimination of respondent's group: not applicable,numeric (double),dscrnap,"[0,1]",1,2,"0/39,325",,,,,
v47,Discrimination of respondent's group: nationality,numeric (double),dscrntn,"[0,1]",1,2,"0/39,325",,,,,
v48,Discrimination of respondent's group: other grounds,numeric (double),dscroth,"[0,1]",1,2,"0/39,325",,,,,
v49,Discrimination of respondent's group: colour or race,numeric (double),dscrrce,"[0,1]",1,2,"0/39,325",,,,,
v50,Discrimination of respondent's group: refusal,numeric (double),dscrref,"[0,1]",1,2,"0/39,325",,,,,
v51,Discrimination of respondent's group: religion,numeric (double),dscrrlg,"[0,1]",1,2,"0/39,325",,,,,
v52,Discrimination of respondent's group: sexuality,numeric (double),dscrsex,"[0,1]",1,2,"0/39,325",,,,,
v53,Ever been divorced/had civil union dissolved,numeric (double),dvrcdeva,"[1,2]",1,2,"0/39,325",3,"259/39,325",,,
v54,Doing last 7 days: education,numeric (double),edctn,"[0,1]",1,2,"0/39,325",,,,,
v55,Partner doing last 7 days: education,numeric (double),edctnp,"[0,1]",1,2,"0/39,325",,,,,
v56,Highest level of education,numeric (double),edulvla,"[1,55]",1,6,"0/39,325",3,"137/39,325",,,
v57,Highest level of education,numeric (double),edulvlb,"[0,5555]",1,28,"0/39,325",3,"137/39,325",,,
v58,Father's highest level of education,numeric (double),edulvlfa,"[1,55]",1,6,"1,662/39,325",4,"4,010/39,325",,,
v59,Father's highest level of education,numeric (double),edulvlfb,"[0,5555]",1,28,"1,662/39,325",4,"4,010/39,325",,,
v60,Mother's highest level of education,numeric (double),edulvlma,"[1,55]",1,6,"1,662/39,325",4,"2,555/39,325",,,
v61,Mother's highest level of education,numeric (double),edulvlmb,"[0,5555]",1,28,"1,662/39,325",4,"2,555/39,325",,,
v62,Partner's highest level of education,numeric (double),edulvlpa,"[1,55]",1,6,"1,662/39,325",5,"15,846/39,325",,,
v63,Partner's highest level of education,numeric (double),edulvlpb,"[0,5555]",1,28,"1,662/39,325",5,"15,846/39,325",,,
v64,Years of full-time education completed,numeric (double),"eduyrs, but 44 nonmissing values are not labeled","[0,50]",1,44,"0/39,325",3,"349/39,325",,,
v65,"Highest level of education, ES - ISCED",numeric (double),eisced,"[1,55]",1,8,"0/39,325",3,"137/39,325",,,
v66,"Father's highest level of education, ES - ISCED",numeric (double),eiscedf,"[1,55]",1,8,"1,662/39,325",4,"4,010/39,325",,,
v67,"Mother's highest level of education, ES - ISCED",numeric (double),eiscedm,"[1,55]",1,8,"1,662/39,325",4,"2,555/39,325",,,
v68,"Partner's highest level of education, ES - ISCED",numeric (double),eiscedp,"[1,55]",1,8,"1,662/39,325",5,"15,846/39,325",,,
v69,Number of employees respondent has/had,numeric (double),"emplno, but 58 nonmissing values are not labeled","[0,6000]",1,58,"0/39,325",4,"35,274/39,325",,,
v70,Employment relation,numeric (double),emplrel,"[1,3]",1,3,"0/39,325",4,"3,275/39,325",,,
v71,Partner's employment relation,numeric (double),emprelp,"[1,3]",1,3,"0/39,325",4,"25,081/39,325",,,
v72,Father's employment status when respondent 14,numeric (double),emprf14,"[1,4]",1,4,"0/39,325",3,"1,089/39,325",,,
v73,Mother's employment status when respondent 14,numeric (double),emprm14,"[1,4]",1,4,"0/39,325",3,"586/39,325",,,
v74,"Enjoyed life, how often past week",numeric (double),enjlf,"[1,4]",1,4,"0/39,325",3,"328/39,325",,,
v75,Establishment size,numeric (double),estsz,"[1,5]",1,5,"0/39,325",4,"4,122/39,325",,,
v76,European Union: European unification go further or gone too far,numeric (double),"euftf, but 9 nonmissing values are not labeled","[0,10]",1,11,"0/39,325",3,"3,450/39,325",,,
v77,Father born in country,numeric (double),facntr,"[1,2]",1,2,"0/39,325",3,"241/39,325",,,
v78,"Country of birth, father",string (str2),,,,171,,,,"0/39,325",,
v79,"Felt depressed, how often past week",numeric (double),fltdpr,"[1,4]",1,4,"0/39,325",3,"205/39,325",,,
v80,"Felt everything did as effort, how often past week",numeric (double),flteeff,"[1,4]",1,4,"0/39,325",3,"216/39,325",,,
v81,"Felt lonely, how often past week",numeric (double),fltlnl,"[1,4]",1,4,"0/39,325",3,"241/39,325",,,
v82,"Felt sad, how often past week",numeric (double),fltsd,"[1,4]",1,4,"0/39,325",3,"243/39,325",,,
v83,Gays and lesbians free to live life as they wish,numeric (double),freehms,"[1,5]",1,5,"0/39,325",3,"1,153/39,325",,,
v84,Government should reduce differences in income levels,numeric (double),gincdif,"[1,5]",1,5,"0/39,325",3,"693/39,325",,,
v85,Gender,numeric (double),gndr,"[1,2]",1,2,"0/39,325",1,"21/39,325",,,
v86,Gender of tenth person in household,numeric (double),gndr10,"[1,2]",1,2,"14,320/39,325",4,"24,960/39,325",,,
v87,Gender of eleventh person in household,numeric (double),gndr11,"[1,2]",1,2,"18,264/39,325",3,"21,035/39,325",,,
v88,Gender of twelfth person in household,numeric (double),gndr12,"[1,2]",1,2,"21,843/39,325",3,"17,473/39,325",,,
v89,Gender of thirteenth person in household,numeric (double),gndr13,"[1,1]",1,1,"35,393/39,325",3,"3,931/39,325",,,
v90,Gender of second person in household,numeric (double),gndr2,"[1,2]",1,2,"0/39,325",3,"8,360/39,325",,,
v91,Gender of third person in household,numeric (double),gndr3,"[1,2]",1,2,"0/39,325",3,"22,063/39,325",,,
v92,Gender of fourth person in household,numeric (double),gndr4,"[1,2]",1,2,"0/39,325",3,"29,139/39,325",,,
v93,Gender of fifth person in household,numeric (double),gndr5,"[1,2]",1,2,"0/39,325",3,"35,602/39,325",,,
v94,Gender of sixth person in household,numeric (double),gndr6,"[1,2]",1,2,"0/39,325",3,"38,005/39,325",,,
v95,Gender of seventh person in household,numeric (double),gndr7,"[1,2]",1,2,"2,097/39,325",4,"36,770/39,325",,,
v96,Gender of eighth person in household,numeric (double),gndr8,"[1,2]",1,2,"6,972/39,325",4,"32,185/39,325",,,
v97,Gender of ninth person in household,numeric (double),gndr9,"[1,2]",1,2,"12,820/39,325",4,"26,436/39,325",,,
v98,How happy are you,numeric (double),"happy, but 9 nonmissing values are not labeled","[0,10]",1,11,"0/39,325",3,"168/39,325",,,
v99,Subjective general health,numeric (double),health,"[1,5]",1,5,"0/39,325",3,"47/39,325",,,
v100,Number of people living regularly as member of household,numeric (double),"hhmmb, but 14 nonmissing values are not labeled","[1,14]",1,14,"0/39,325",3,"101/39,325",,,
v101,Feeling about household's income nowadays,numeric (double),hincfel,"[1,4]",1,4,"0/39,325",3,"369/39,325",,,
v102,Main source of household income,numeric (double),hincsrc,"[1,7]",1,7,"0/39,325",3,"793/39,325",,,
v103,Main source of household income,numeric (double),hincsrca,"[1,8]",1,8,"0/39,325",3,"793/39,325",,,
v104,"Household's total net income, all sources",numeric (double),hinctnta,"[1,10]",1,10,"2,002/39,325",4,"6,100/39,325",,,
v105,Hampered in daily activities by illness/disability/infirmity/mental problem,numeric (double),hlthhmp,"[1,3]",1,3,"0/39,325",3,"87/39,325",,,
v106,"Doing last 7 days: housework, looking after children, others",numeric (double),hswrk,"[0,1]",1,2,"0/39,325",,,,,
v107,"Partner doing last 7 days: housework, looking after children, others",numeric (double),hswrkp,"[0,1]",1,2,"0/39,325",,,,,
v108,Have a set 'basic' or contracted number of hours,numeric (double),icwhct,"[1,2]",1,2,"0/39,325",2,"3,204/39,325",,,
v109,Immigration bad or good for country's economy,numeric (double),"imbgeco, but 9 nonmissing values are not labeled","[0,10]",1,11,"0/39,325",3,"1,363/39,325",,,
v110,Allow many/few immigrants of different race/ethnic group from majority,numeric (double),imdfetn,"[1,4]",1,4,"0/39,325",3,"1,041/39,325",,,
v111,Allow many/few immigrants from poorer countries outside Europe,numeric (double),impcntr,"[1,4]",1,4,"0/39,325",3,"1,197/39,325",,,
v112,Important to try new and different things in life,numeric (double),impdiff,"[1,6]",1,6,"18/39,325",4,"1,037/39,325",,,
v113,Important to care for nature and environment,numeric (double),impenv,"[1,6]",1,6,"18/39,325",4,"1,020/39,325",,,
v114,Important to make own decisions and be free,numeric (double),impfree,"[1,6]",1,6,"18/39,325",4,"1,026/39,325",,,
v115,Important to seek fun and things that give pleasure,numeric (double),impfun,"[1,6]",1,6,"18/39,325",4,"1,070/39,325",,,
v116,"Important to be rich, have money and expensive things",numeric (double),imprich,"[1,6]",1,6,"18/39,325",4,"995/39,325",,,
v117,Important to live in secure and safe surroundings,numeric (double),impsafe,"[1,6]",1,6,"18/39,325",4,"1,022/39,325",,,
v118,Important to follow traditions and customs,numeric (double),imptrad,"[1,6]",1,6,"18/39,325",4,"1,067/39,325",,,
v119,Allow many/few immigrants of same race/ethnic group as majority,numeric (double),imsmetn,"[1,4]",1,4,"0/39,325",3,"985/39,325",,,
v120,Country's cultural life undermined or enriched by immigrants,numeric (double),"imueclt, but 9 nonmissing values are not labeled","[0,10]",1,11,"0/39,325",3,"1,321/39,325",,,
v121,Immigrants make country worse or better place to live,numeric (double),"imwbcnt, but 9 nonmissing values are not labeled","[0,10]",1,11,"0/39,325",3,"1,486/39,325",,,
v122,How many people with whom you can discuss intimate and personal matters,numeric (double),"inprdsc, but 3 nonmissing values are not labeled","[0,6]",1,7,"0/39,325",3,"338/39,325",,,
v123,"Place of interview: East, West Germany",numeric (double),intewde,"[1,2]",1,2,"36,360/39,325",,,,,
v124,"End of interview, day of month",numeric (double),"inwdde, but 31 nonmissing values are not labeled","[1,31]",1,31,"0/39,325",1,"10/39,325",,,
v125,"Start of interview, day of month",numeric (double),"inwdds, but 31 nonmissing values are not labeled","[1,31]",1,31,"0/39,325",1,"3/39,325",,,
v126,"End of interview, hour",numeric (double),"inwehh, but 24 nonmissing values are not labeled","[0,23]",1,24,"1,247/39,325",2,"83/39,325",,,
v127,"End of interview, minute",numeric (double),"inwemm, but 60 nonmissing values are not labeled","[0,59]",1,60,"1,247/39,325",2,"83/39,325",,,
v128,"End of interview, month",numeric (double),"inwmme, but 12 nonmissing values are not labeled","[1,12]",1,12,"0/39,325",1,"7/39,325",,,
v129,"Start of interview, month",numeric (double),"inwmms, but 12 nonmissing values are not labeled","[1,12]",1,12,"0/39,325",,,,,
v130,"Start of interview, hour",numeric (double),"inwshh, but 24 nonmissing values are not labeled","[0,23]",1,24,"1,247/39,325",2,"89/39,325",,,
v131,"Start of interview, minute",numeric (double),"inwsmm, but 60 nonmissing values are not labeled","[0,59]",1,60,"1,247/39,325",2,"89/39,325",,,
v132,"Interview length in minutes, main questionnaire",numeric (double),,"[0,772]",1,214,"1,574/39,325",,,,57.3612,21.2172
v133,"End of interview, year",numeric (double),"inwyye, but 2 nonmissing values are not labeled","[2014,2015]",1,2,"0/39,325",1,"7/39,325",,,
v134,"Start of interview, year",numeric (double),"inwyys, but 2 nonmissing values are not labeled","[2014,2015]",1,2,"0/39,325",,,,,
v135,Allowed to influence policy decisions about activities of organisation,numeric (double),"iorgact, but 9 nonmissing values are not labeled","[0,10]",1,11,"0/39,325",4,"3,701/39,325",,,
v136,Important to seek adventures and have an exciting life,numeric (double),ipadvnt,"[1,6]",1,6,"18/39,325",4,"1,059/39,325",,,
v137,Important to behave properly,numeric (double),ipbhprp,"[1,6]",1,6,"18/39,325",4,"1,099/39,325",,,
v138,Important to think new ideas and being creative,numeric (double),ipcrtiv,"[1,6]",1,6,"18/39,325",4,"1,049/39,325",,,
v139,Important that people are treated equally and have equal opportunities,numeric (double),ipeqopt,"[1,6]",1,6,"18/39,325",4,"1,028/39,325",,,
v140,Important to do what is told and follow rules,numeric (double),ipfrule,"[1,6]",1,6,"18/39,325",4,"1,190/39,325",,,
v141,Important to have a good time,numeric (double),ipgdtim,"[1,6]",1,6,"18/39,325",4,"1,050/39,325",,,
v142,Important to help people and care for others well-being,numeric (double),iphlppl,"[1,6]",1,6,"18/39,325",4,"1,002/39,325",,,
v143,Important to be loyal to friends and devote to people close,numeric (double),iplylfr,"[1,6]",1,6,"18/39,325",4,"1,018/39,325",,,
