,0
0,v15
1,v16
2,v24
3,v26
4,v27
5,v28
6,v29
7,v31
8,v32
9,v33
10,v34
11,v37
12,v38
13,v39
14,v40
15,v41
16,v42
17,v44
18,v45
19,v47
20,v48
21,v49
22,v50
23,v51
24,v52
25,v55
26,v86
27,v87
28,v88
29,v94
30,v95
31,v96
32,v97
33,v171
34,v192
35,v193
36,v194
37,v200
38,v201
39,v202
40,v203
41,v204
42,v205
43,v206
44,v212
45,v213
46,v214
47,v215
48,v245
49,v246
50,v247
51,v259
52,v260
53,v261
54,v267
55,v268
56,v269
57,v270
58,v17_3
59,v17_4
60,v17_6
61,v17_77
62,v17_88
63,v17_99
64,v17_AF
65,v17_AL
66,v17_AM
67,v17_AO
68,v17_AR
69,v17_AS
70,v17_AT
71,v17_AU
72,v17_AW
73,v17_AX
74,v17_AZ
75,v17_BA
76,v17_BD
77,v17_BE
78,v17_BF
79,v17_BG
80,v17_BI
81,v17_BJ
82,v17_BO
83,v17_BQ
84,v17_BR
85,v17_BY
86,v17_CA
87,v17_CD
88,v17_CF
89,v17_CG
90,v17_CH
91,v17_CI
92,v17_CL
93,v17_CM
94,v17_CN
95,v17_CO
96,v17_CR
97,v17_CU
98,v17_CV
99,v17_CW
100,v17_CY
101,v17_CZ
102,v17_DE
103,v17_DJ
104,v17_DK
105,v17_DO
106,v17_DZ
107,v17_EC
108,v17_EE
109,v17_EG
110,v17_ER
111,v17_ES
112,v17_ET
113,v17_FI
114,v17_FO
115,v17_FR
116,v17_GA
117,v17_GB
118,v17_GD
119,v17_GE
120,v17_GF
121,v17_GH
122,v17_GL
123,v17_GM
124,v17_GN
125,v17_GP
126,v17_GQ
127,v17_GR
128,v17_GT
129,v17_GW
130,v17_HK
131,v17_HN
132,v17_HR
133,v17_HU
134,v17_ID
135,v17_IE
136,v17_IL
137,v17_IM
138,v17_IN
139,v17_IO
140,v17_IQ
141,v17_IR
142,v17_IS
143,v17_IT
144,v17_JM
145,v17_JO
146,v17_JP
147,v17_KE
148,v17_KG
149,v17_KM
150,v17_KR
151,v17_KW
152,v17_KZ
153,v17_LA
154,v17_LB
155,v17_LI
156,v17_LK
157,v17_LR
158,v17_LT
159,v17_LU
160,v17_LV
161,v17_LY
162,v17_MA
163,v17_MD
164,v17_ME
165,v17_MG
166,v17_MK
167,v17_ML
168,v17_MN
169,v17_MQ
170,v17_MR
171,v17_MU
172,v17_MX
173,v17_MY
174,v17_MZ
175,v17_NE
176,v17_NG
177,v17_NI
178,v17_NL
179,v17_NO
180,v17_NP
181,v17_NZ
182,v17_PE
183,v17_PH
184,v17_PK
185,v17_PL
186,v17_PR
187,v17_PS
188,v17_PT
189,v17_PY
190,v17_RE
191,v17_RO
192,v17_RS
193,v17_RU
194,v17_RW
195,v17_SA
196,v17_SD
197,v17_SE
198,v17_SG
199,v17_SI
200,v17_SK
201,v17_SL
202,v17_SN
203,v17_SO
204,v17_SR
205,v17_ST
206,v17_SY
207,v17_SZ
208,v17_TD
209,v17_TH
210,v17_TJ
211,v17_TL
212,v17_TM
213,v17_TN
214,v17_TR
215,v17_TZ
216,v17_UA
217,v17_UG
218,v17_US
219,v17_UY
220,v17_UZ
221,v17_VE
222,v17_VN
223,v17_XK
224,v17_YE
225,v17_ZA
226,v17_ZM
227,v17_ZW
228,v20_AT11
229,v20_AT12
230,v20_AT13
231,v20_AT21
232,v20_AT22
233,v20_AT31
234,v20_AT32
235,v20_AT33
236,v20_AT34
237,v20_BE10
238,v20_BE21
239,v20_BE22
240,v20_BE23
241,v20_BE24
242,v20_BE25
243,v20_BE31
244,v20_BE32
245,v20_BE33
246,v20_BE34
247,v20_BE35
248,v20_CH01
249,v20_CH02
250,v20_CH03
251,v20_CH04
252,v20_CH05
253,v20_CH06
254,v20_CH07
255,v20_CZ010
256,v20_CZ020
257,v20_CZ031
258,v20_CZ032
259,v20_CZ041
260,v20_CZ042
261,v20_CZ051
262,v20_CZ052
263,v20_CZ053
264,v20_CZ063
265,v20_CZ064
266,v20_CZ071
267,v20_CZ072
268,v20_CZ080
269,v20_DE1
270,v20_DE2
271,v20_DE3
272,v20_DE4
273,v20_DE5
274,v20_DE6
275,v20_DE7
276,v20_DE8
277,v20_DE9
278,v20_DEA
279,v20_DEB
280,v20_DEC
281,v20_DED
282,v20_DEE
283,v20_DEF
284,v20_DEG
285,v20_DK01
286,v20_DK02
287,v20_DK03
288,v20_DK04
289,v20_DK05
290,v20_EE001
291,v20_EE004
292,v20_EE006
293,v20_EE007
294,v20_EE008
295,v20_ES11
296,v20_ES12
297,v20_ES13
298,v20_ES21
299,v20_ES22
300,v20_ES23
301,v20_ES24
302,v20_ES30
303,v20_ES41
304,v20_ES42
305,v20_ES43
306,v20_ES51
307,v20_ES52
308,v20_ES53
309,v20_ES61
310,v20_ES62
311,v20_ES63
312,v20_ES64
313,v20_ES70
314,v20_FI193
315,v20_FI194
316,v20_FI195
317,v20_FI196
318,v20_FI197
319,v20_FI1B1
320,v20_FI1C1
321,v20_FI1C2
322,v20_FI1C3
323,v20_FI1C4
324,v20_FI1C5
325,v20_FI1D1
326,v20_FI1D2
327,v20_FI1D3
328,v20_FI1D4
329,v20_FI1D5
330,v20_FI1D6
331,v20_FI1D7
332,v20_FI200
333,v20_FR10
334,v20_FR21
335,v20_FR22
336,v20_FR23
337,v20_FR24
338,v20_FR25
339,v20_FR26
340,v20_FR30
341,v20_FR41
342,v20_FR42
343,v20_FR43
344,v20_FR51
345,v20_FR52
346,v20_FR53
347,v20_FR61
348,v20_FR62
349,v20_FR63
350,v20_FR71
351,v20_FR72
352,v20_FR81
353,v20_FR82
354,v20_HU101
355,v20_HU102
356,v20_HU211
357,v20_HU212
358,v20_HU213
359,v20_HU221
360,v20_HU222
361,v20_HU223
362,v20_HU231
363,v20_HU232
364,v20_HU233
365,v20_HU311
366,v20_HU312
367,v20_HU313
368,v20_HU321
369,v20_HU322
370,v20_HU323
371,v20_HU331
372,v20_HU332
373,v20_HU333
374,v20_IE011
375,v20_IE012
376,v20_IE013
377,v20_IE021
378,v20_IE022
379,v20_IE023
380,v20_IE024
381,v20_IE025
382,v20_IL
383,v20_LT001
384,v20_LT002
385,v20_LT003
386,v20_LT004
387,v20_LT005
388,v20_LT006
389,v20_LT007
390,v20_LT008
391,v20_LT009
392,v20_LT00A
393,v20_NL11
394,v20_NL12
395,v20_NL13
396,v20_NL21
397,v20_NL22
398,v20_NL23
399,v20_NL31
400,v20_NL32
401,v20_NL33
402,v20_NL34
403,v20_NL41
404,v20_NL42
405,v20_NO01
406,v20_NO02
407,v20_NO03
408,v20_NO04
409,v20_NO05
410,v20_NO06
411,v20_NO07
412,v20_PL11
413,v20_PL12
414,v20_PL21
415,v20_PL22
416,v20_PL31
417,v20_PL32
418,v20_PL33
419,v20_PL34
420,v20_PL41
421,v20_PL42
422,v20_PL43
423,v20_PL51
424,v20_PL52
425,v20_PL61
426,v20_PL62
427,v20_PL63
428,v20_PT11
429,v20_PT15
430,v20_PT16
431,v20_PT17
432,v20_PT18
433,v20_SE110
434,v20_SE121
435,v20_SE122
436,v20_SE123
437,v20_SE124
438,v20_SE125
439,v20_SE211
440,v20_SE212
441,v20_SE213
442,v20_SE214
443,v20_SE221
444,v20_SE224
445,v20_SE231
446,v20_SE232
447,v20_SE311
448,v20_SE312
449,v20_SE313
450,v20_SE321
451,v20_SE322
452,v20_SE331
453,v20_SE332
454,v20_SI011
455,v20_SI012
456,v20_SI013
457,v20_SI014
458,v20_SI015
459,v20_SI016
460,v20_SI017
461,v20_SI018
462,v20_SI021
463,v20_SI022
464,v20_SI023
465,v20_SI024
466,v20_UKC
467,v20_UKD
468,v20_UKE
469,v20_UKF
470,v20_UKG
471,v20_UKH
472,v20_UKI
473,v20_UKJ
474,v20_UKK
475,v20_UKL
476,v20_UKM
477,v20_UKN
478,v25_65
479,v25_66
480,v25_77
481,v25_88
482,v25_99
483,v25_AF
484,v25_AL
485,v25_AM
486,v25_AO
487,v25_AR
488,v25_AT
489,v25_AU
490,v25_BA
491,v25_BD
492,v25_BE
493,v25_BF
494,v25_BG
495,v25_BI
496,v25_BJ
497,v25_BO
498,v25_BR
499,v25_BY
500,v25_CA
501,v25_CD
502,v25_CG
503,v25_CH
504,v25_CI
505,v25_CL
506,v25_CM
507,v25_CN
508,v25_CO
509,v25_CU
510,v25_CV
511,v25_CZ
512,v25_DE
513,v25_DK
514,v25_DO
515,v25_DZ
516,v25_EC
517,v25_EE
518,v25_EG
519,v25_ER
520,v25_ES
521,v25_ET
522,v25_FI
523,v25_FR
524,v25_GA
525,v25_GB
526,v25_GD
527,v25_GE
528,v25_GH
529,v25_GM
530,v25_GN
531,v25_GQ
532,v25_GR
533,v25_GW
534,v25_HK
535,v25_HN
536,v25_HR
537,v25_HU
538,v25_ID
539,v25_IE
540,v25_IL
541,v25_IN
542,v25_IO
543,v25_IQ
544,v25_IR
545,v25_IS
546,v25_IT
547,v25_JP
548,v25_KE
549,v25_KG
550,v25_KM
551,v25_KR
552,v25_KZ
553,v25_LA
554,v25_LB
555,v25_LK
556,v25_LT
557,v25_LV
558,v25_MA
559,v25_MD
560,v25_MG
561,v25_MK
562,v25_ML
563,v25_MN
564,v25_MR
565,v25_MT
566,v25_MX
567,v25_MY
568,v25_NE
569,v25_NG
570,v25_NL
571,v25_NO
572,v25_NP
573,v25_NZ
574,v25_PE
575,v25_PH
576,v25_PK
577,v25_PL
578,v25_PR
579,v25_PS
580,v25_PT
581,v25_PY
582,v25_RO
583,v25_RS
584,v25_RU
585,v25_SD
586,v25_SE
587,v25_SI
588,v25_SK
589,v25_SL
590,v25_SN
591,v25_SO
592,v25_SR
593,v25_SY
594,v25_TH
595,v25_TN
596,v25_TR
597,v25_UA
598,v25_UG
599,v25_US
600,v25_UY
601,v25_UZ
602,v25_VE
603,v25_VN
604,v25_XK
605,v25_ZA
606,v25_ZW
607,v78_3
608,v78_4
609,v78_6
610,v78_77
611,v78_88
612,v78_99
613,v78_AF
614,v78_AG
615,v78_AL
616,v78_AM
617,v78_AO
618,v78_AR
619,v78_AT
620,v78_AU
621,v78_AW
622,v78_AX
623,v78_AZ
624,v78_BA
625,v78_BD
626,v78_BE
627,v78_BF
628,v78_BG
629,v78_BI
630,v78_BJ
631,v78_BO
632,v78_BQ
633,v78_BR
634,v78_BY
635,v78_CA
636,v78_CD
637,v78_CF
638,v78_CG
639,v78_CH
640,v78_CI
641,v78_CL
642,v78_CM
643,v78_CN
644,v78_CO
645,v78_CR
646,v78_CU
647,v78_CV
648,v78_CW
649,v78_CY
650,v78_CZ
651,v78_DE
652,v78_DJ
653,v78_DK
654,v78_DO
655,v78_DZ
656,v78_EC
657,v78_EE
658,v78_EG
659,v78_ER
660,v78_ES
661,v78_ET
662,v78_FI
663,v78_FO
664,v78_FR
665,v78_GA
666,v78_GB
667,v78_GD
668,v78_GE
669,v78_GH
670,v78_GL
671,v78_GM
672,v78_GN
673,v78_GP
674,v78_GQ
675,v78_GR
676,v78_GT
677,v78_GW
678,v78_GY
679,v78_HK
680,v78_HN
681,v78_HR
682,v78_HU
683,v78_ID
684,v78_IE
685,v78_IL
686,v78_IN
687,v78_IQ
688,v78_IR
689,v78_IS
690,v78_IT
691,v78_JM
692,v78_JO
693,v78_JP
694,v78_KE
695,v78_KG
696,v78_KH
697,v78_KM
698,v78_KR
699,v78_KW
700,v78_KZ
701,v78_LA
702,v78_LB
703,v78_LI
704,v78_LK
705,v78_LR
706,v78_LT
707,v78_LU
708,v78_LV
709,v78_LY
710,v78_MA
711,v78_MD
712,v78_ME
713,v78_MG
714,v78_MK
715,v78_ML
716,v78_MN
717,v78_MO
718,v78_MQ
719,v78_MR
720,v78_MT
721,v78_MU
722,v78_MX
723,v78_MY
724,v78_MZ
725,v78_NE
726,v78_NG
727,v78_NI
728,v78_NL
729,v78_NO
730,v78_NP
731,v78_NZ
732,v78_PE
733,v78_PH
734,v78_PK
735,v78_PL
736,v78_PR
737,v78_PS
738,v78_PT
739,v78_PY
740,v78_RE
741,v78_RO
742,v78_RS
743,v78_RU
744,v78_RW
745,v78_SD
746,v78_SE
747,v78_SG
748,v78_SI
749,v78_SK
750,v78_SL
751,v78_SN
752,v78_SO
753,v78_SR
754,v78_ST
755,v78_SY
756,v78_SZ
757,v78_TH
758,v78_TJ
759,v78_TL
760,v78_TM
761,v78_TN
762,v78_TR
763,v78_TZ
764,v78_UA
765,v78_UG
766,v78_US
767,v78_UY
768,v78_UZ
769,v78_VE
770,v78_VN
771,v78_XK
772,v78_YE
773,v78_ZA
774,v78_ZM
775,v78_ZW
776,v154_888
777,v154_999
778,v154_ABK
779,v154_AKA
780,v154_ALB
781,v154_AMH
782,v154_APA
783,v154_ARA
784,v154_ARC
785,v154_ARM
786,v154_AST
787,v154_AZE
788,v154_BAD
789,v154_BAM
790,v154_BAQ
791,v154_BEL
792,v154_BEN
793,v154_BER
794,v154_BOS
795,v154_BUL
796,v154_CAT
797,v154_CHI
798,v154_CPF
799,v154_CPP
800,v154_DUM
801,v154_EGY
802,v154_FAO
803,v154_FIL
804,v154_FRM
805,v154_FRO
806,v154_FRS
807,v154_FUL
808,v154_GEM
809,v154_GEO
810,v154_GLE
811,v154_GLG
812,v154_GRE
813,v154_GUJ
814,v154_HEB
815,v154_HIN
816,v154_HRV
817,v154_ICE
818,v154_INC
819,v154_IND
820,v154_IRA
821,v154_ITA
822,v154_JPN
823,v154_KAB
824,v154_KUR
825,v154_LAD
826,v154_LAO
827,v154_LAV
828,v154_LIN
829,v154_MAC
830,v154_MAL
831,v154_MAN
832,v154_MAY
833,v154_MDR
834,v154_MIS
835,v154_MLG
836,v154_MON
837,v154_NAP
838,v154_NEP
839,v154_NIC
840,v154_PAM
841,v154_PAN
842,v154_PAP
843,v154_PER
844,v154_POL
845,v154_PUS
846,v154_ROA
847,v154_ROH
848,v154_ROM
849,v154_RUM
850,v154_SIN
851,v154_SLA
852,v154_SLO
853,v154_SLV
854,v154_SMI
855,v154_SNK
856,v154_SOM
857,v154_SPA
858,v154_SRN
859,v154_SRP
860,v154_SUS
861,v154_SUX
862,v154_SWA
863,v154_SYR
864,v154_TAI
865,v154_TAM
866,v154_TEL
867,v154_TGK
868,v154_TGL
869,v154_THA
870,v154_TIB
871,v154_TIG
872,v154_TIR
873,v154_TUR
874,v154_UKR
875,v154_UND
876,v154_URD
877,v154_UZB
878,v154_VIE
879,v154_WEL
880,v154_WLN
881,v154_WOL
882,v154_YID
883,v155_777
884,v155_888
885,v155_ALB
886,v155_AMH
887,v155_APA
888,v155_ARA
889,v155_ARM
890,v155_BAQ
891,v155_BEL
892,v155_BEN
893,v155_BER
894,v155_BOS
895,v155_BRE
896,v155_BUL
897,v155_CAD
898,v155_CAT
899,v155_CHI
900,v155_CPF
901,v155_CPP
902,v155_CSB
903,v155_CZE
904,v155_DAN
905,v155_DUT
906,v155_DYU
907,v155_EGY
908,v155_ENG
909,v155_ENM
910,v155_EST
911,v155_EWE
912,v155_FAN
913,v155_FAO
914,v155_FIL
915,v155_FIN
916,v155_FON
917,v155_FRE
918,v155_FRM
919,v155_FRO
920,v155_FRS
921,v155_GEM
922,v155_GEO
923,v155_GER
924,v155_GLE
925,v155_GLG
926,v155_GRE
927,v155_GRN
928,v155_GSW
929,v155_GUJ
930,v155_HAT
931,v155_HEB
932,v155_HER
933,v155_HIN
934,v155_HRV
935,v155_HUN
936,v155_HUP
937,v155_IBO
938,v155_IND
939,v155_IRA
940,v155_ITA
941,v155_JPN
942,v155_KIK
943,v155_KIN
944,v155_KON
945,v155_KUR
946,v155_LAV
947,v155_LIN
948,v155_LIT
949,v155_MAC
950,v155_MAL
951,v155_MAO
952,v155_MAR
953,v155_MAY
954,v155_MIS
955,v155_MLG
956,v155_MWL
957,v155_NAH
958,v155_NDE
959,v155_NDS
960,v155_NEP
961,v155_NIC
962,v155_NOR
963,v155_OCI
964,v155_PAN
965,v155_PAP
966,v155_PER
967,v155_PHI
968,v155_POL
969,v155_POR
970,v155_QAA
971,v155_ROA
972,v155_ROH
973,v155_ROM
974,v155_RUM
975,v155_RUN
976,v155_RUS
977,v155_SGN
978,v155_SLA
979,v155_SLO
980,v155_SLV
981,v155_SMN
982,v155_SNK
983,v155_SOM
984,v155_SPA
985,v155_SRN
986,v155_SRP
987,v155_SWA
988,v155_SWE
989,v155_SYR
990,v155_TAI
991,v155_TAM
992,v155_TGL
993,v155_THA
994,v155_TIB
995,v155_TIG
996,v155_TIR
997,v155_TPI
998,v155_TUR
999,v155_UKR
1000,v155_UND
1001,v155_URD
1002,v155_UZB
1003,v155_VIE
1004,v155_VOL
1005,v155_WLN
1006,v155_WOL
1007,v155_YID
1008,v155_YOR
1009,v155_ZXX
1010,v161_2
1011,v161_3
1012,v161_4
1013,v161_77
1014,v161_88
1015,v161_99
1016,v161_AD
1017,v161_AF
1018,v161_AL
1019,v161_AM
1020,v161_AO
1021,v161_AR
1022,v161_AT
1023,v161_AU
1024,v161_AW
1025,v161_AX
1026,v161_AZ
1027,v161_BA
1028,v161_BD
1029,v161_BE
1030,v161_BF
1031,v161_BG
1032,v161_BI
1033,v161_BJ
1034,v161_BO
1035,v161_BQ
1036,v161_BR
1037,v161_BY
1038,v161_CA
1039,v161_CD
1040,v161_CF
1041,v161_CG
1042,v161_CH
1043,v161_CI
1044,v161_CL
1045,v161_CM
1046,v161_CN
1047,v161_CO
1048,v161_CR
1049,v161_CU
1050,v161_CV
1051,v161_CW
1052,v161_CZ
1053,v161_DE
1054,v161_DK
1055,v161_DO
1056,v161_DZ
1057,v161_EC
1058,v161_EE
1059,v161_EG
1060,v161_ER
1061,v161_ES
1062,v161_ET
1063,v161_FI
1064,v161_FO
1065,v161_FR
1066,v161_GA
1067,v161_GB
1068,v161_GD
1069,v161_GE
1070,v161_GH
1071,v161_GI
1072,v161_GL
1073,v161_GM
1074,v161_GN
1075,v161_GP
1076,v161_GQ
1077,v161_GR
1078,v161_GT
1079,v161_GW
1080,v161_GY
1081,v161_HK
1082,v161_HN
1083,v161_HR
1084,v161_HU
1085,v161_ID
1086,v161_IE
1087,v161_IL
1088,v161_IN
1089,v161_IQ
1090,v161_IR
1091,v161_IS
1092,v161_IT
1093,v161_JM
1094,v161_JO
1095,v161_JP
1096,v161_KE
1097,v161_KG
1098,v161_KM
1099,v161_KR
1100,v161_KW
1101,v161_KZ
1102,v161_LA
1103,v161_LB
1104,v161_LC
1105,v161_LI
1106,v161_LK
1107,v161_LR
1108,v161_LT
1109,v161_LU
1110,v161_LV
1111,v161_LY
1112,v161_MA
1113,v161_MD
1114,v161_ME
1115,v161_MG
1116,v161_MK
1117,v161_ML
1118,v161_MM
1119,v161_MN
1120,v161_MQ
1121,v161_MR
1122,v161_MT
1123,v161_MU
1124,v161_MX
1125,v161_MY
1126,v161_MZ
1127,v161_NE
1128,v161_NG
1129,v161_NI
1130,v161_NL
1131,v161_NO
1132,v161_NP
1133,v161_NZ
1134,v161_PE
1135,v161_PH
1136,v161_PK
1137,v161_PL
1138,v161_PR
1139,v161_PS
1140,v161_PT
1141,v161_PY
1142,v161_RE
1143,v161_RO
1144,v161_RS
1145,v161_RU
1146,v161_RW
1147,v161_SA
1148,v161_SD
1149,v161_SE
1150,v161_SI
1151,v161_SK
1152,v161_SL
1153,v161_SM
1154,v161_SN
1155,v161_SO
1156,v161_SR
1157,v161_ST
1158,v161_SV
1159,v161_SY
1160,v161_TD
1161,v161_TH
1162,v161_TJ
1163,v161_TL
1164,v161_TM
1165,v161_TN
1166,v161_TR
1167,v161_TW
1168,v161_TZ
1169,v161_UA
1170,v161_UG
1171,v161_US
1172,v161_UY
1173,v161_UZ
1174,v161_VE
1175,v161_VN
1176,v161_XK
1177,v161_YE
1178,v161_ZA
1179,v161_ZM
1180,v161_ZW
1181,cntry_BE
1182,cntry_ES
1183,cntry_IL
1184,cntry_PL
1185,cntry_PT
1186,v70_.b
1187,v70_.c
1188,v70_.d
1189,v70_3
1190,v71_.b
1191,v71_.c
1192,v71_.d
1193,v71_3
1194,v72_.b
1195,v72_.c
1196,v73_.b
1197,v73_.c
1198,v73_4
1199,v102_.b
1200,v102_.c
1201,v102_4
1202,v102_5
1203,v102_6
1204,v102_7
1205,v103_.b
1206,v103_.c
1207,v103_3
1208,v103_5
1209,v103_6
1210,v103_7
1211,v103_8
1212,v158_.c
1213,v158_.d
1214,v158_2
1215,v158_3
1216,v158_4
1217,v158_5
1218,v158_6
1219,v158_7
1220,v158_8
1221,v158_9
1222,v159_.b
1223,v159_.c
1224,v159_2
1225,v159_3
1226,v160_.b
1227,v160_.c
1228,v160_.d
1229,v160_1
1230,v160_2
1231,v160_3
1232,v163_.c
1233,v163_.d
1234,v163_4
1235,v163_7
1236,v163_9
1237,v164_.b
1238,v164_.c
1239,v164_.d
1240,v164_1
1241,v164_2
1242,v164_3
1243,v164_4
1244,v164_5
1245,v164_6
1246,v164_8
1247,v164_9
1248,v169_.b
1249,v169_.c
1250,v169_.d
1251,v170_.b
1252,v170_.c
1253,v170_.d
1254,v170_2
1255,v190_.b
1256,v190_.c
1257,v190_4
1258,v190_5
1259,v190_6
1260,v190_7
1261,v190_8
1262,v191_.b
1263,v191_.c
1264,v191_3
1265,v191_4
1266,v191_5
1267,v191_6
1268,v191_7
1269,v191_8
1270,v216_.b
1271,v216_.c
1272,v216_.d
1273,v216_2
1274,v216_4
1275,v216_5
1276,v216_6
1277,v231_.b
1278,v231_.c
1279,v231_.d
1280,v231_6
1281,v150_.b
1282,v150_.c
1283,v150_.d
1284,v150_0
1285,v150_10
1286,v150_11
1287,v150_12
1288,v150_13
1289,v150_14
1290,v150_20
1291,v150_21
1292,v150_22
1293,v150_25
1294,v150_30
1295,v150_32
1296,v150_34
1297,v150_35
1298,v150_40
1299,v150_41
1300,v150_42
1301,v150_43
1302,v150_44
1303,v150_50
1304,v150_54
1305,v150_61
1306,v150_62
1307,v150_63
1308,v150_70
1309,v150_73
1310,v150_74
1311,v150_75
1312,v150_80
1313,v150_82
1314,v150_90
1315,v150_92
1316,v150_94
1317,v150_95
1318,v150_96
1319,v151_.b
1320,v151_.c
1321,v151_.d
1322,v151_0
1323,v151_10
1324,v151_11
1325,v151_12
1326,v151_13
1327,v151_14
1328,v151_20
1329,v151_21
1330,v151_22
1331,v151_23
1332,v151_24
1333,v151_25
1334,v151_26
1335,v151_30
1336,v151_31
1337,v151_32
1338,v151_33
1339,v151_34
1340,v151_35
1341,v151_40
1342,v151_41
1343,v151_42
1344,v151_43
1345,v151_44
1346,v151_50
1347,v151_51
1348,v151_52
1349,v151_53
1350,v151_54
1351,v151_60
1352,v151_61
1353,v151_62
1354,v151_63
1355,v151_70
1356,v151_71
1357,v151_72
1358,v151_73
1359,v151_74
1360,v151_75
1361,v151_80
1362,v151_81
1363,v151_82
1364,v151_83
1365,v151_90
1366,v151_91
1367,v151_92
1368,v151_93
1369,v151_94
1370,v151_95
1371,v151_96
